#{"t_start": 1665987903.7519228, "env_id": "DeepRMSA-v0"}
r,l,t,service_blocking_rate,episode_service_blocking_rate,bit_rate_blocking_rate,episode_bit_rate_blocking_rate
36,50,7.192087,0.17323076923076924,0.14,0.20561274437093952,0.1812640359319859
32,50,7.307864,0.17333333333333334,0.18,0.20525416384695155,0.1821939586645469
36,50,7.421481,0.17283582089552238,0.14,0.2047110829833343,0.1695556255909234
24,50,7.525034,0.17411764705882352,0.26,0.20562776692247425,0.2634603750756201
44,50,7.645515,0.17246376811594202,0.06,0.20399577432670785,0.08869623207735912
36,50,7.758122,0.172,0.14,0.20346083955874525,0.16573679028552674
44,50,7.87742,0.1704225352112676,0.06,0.20146336165938153,0.05985686402081978
46,50,8.004508,0.1686111111111111,0.04,0.19967371385151744,0.05490483162518302
38,50,8.122325,0.16794520547945205,0.12,0.1990740944864531,0.15544715447154472
26,50,8.224894,0.16891891891891891,0.24,0.19996086020570136,0.2640127388535032
32,50,8.335428,0.16906666666666667,0.18,0.20024474023185918,0.22233502538071065
38,50,8.451448,0.16842105263157894,0.12,0.19946586758425705,0.1456541085731237
42,50,8.566294,0.16727272727272727,0.08,0.19823889803662623,0.1019594818997011
18,50,8.658758,0.16923076923076924,0.32,0.20019367865826018,0.3382526564344746
40,50,8.775555,0.16835443037974684,0.1,0.19871547169197354,0.08587606165460837
36,50,8.885367,0.168,0.14,0.1986097558037274,0.19041614123581338
24,50,8.987415,0.16913580246913582,0.26,0.1993348889629665,0.2601954836535221
14,50,9.084706,0.17146341463414635,0.36,0.20206991954667117,0.4180507677843936
42,50,9.209082,0.17036144578313253,0.08,0.20100932308013825,0.11674968866749688
40,50,9.327159,0.16952380952380952,0.1,0.19994951735532132,0.11118314424635332
34,50,9.438021,0.16941176470588235,0.16,0.19948675114989664,0.16061676839061997
16,50,9.530647,0.1713953488372093,0.34,0.20168713948414477,0.3905287058060331
34,50,9.64049,0.17126436781609194,0.16,0.2016223720452817,0.1961465571699305
32,50,9.746306,0.17136363636363636,0.18,0.20169404892296458,0.20803396472893534
30,50,9.859065,0.17168539325842697,0.2,0.20201615522879354,0.22991777356103732
30,50,9.963876,0.172,0.2,0.20230114021747667,0.2281045751633987
36,50,10.093555,0.17164835164835165,0.14,0.2021688422137294,0.19078341013824884
42,50,10.229655,0.17065217391304346,0.08,0.2010791605443269,0.10280076384468491
34,50,10.352699,0.17053763440860215,0.16,0.20084203261150893,0.17997542997542998
18,50,10.45286,0.17212765957446807,0.32,0.20253142935228205,0.36876061120543296
24,50,10.556198,0.17305263157894737,0.26,0.20347511862346127,0.28508124076809455
40,50,10.672178,0.17229166666666668,0.1,0.2023570058607716,0.09801449732114718
28,50,10.773223,0.17278350515463917,0.22,0.20290161744673535,0.2542533081285444
