,0
0,0.0009839890942964847
1,0.0
2,0.003131567925742726
3,0.0006044860712721358
4,0.0021674964929375164
5,0.00038239311589115146
6,0.001348879035689087
7,0.0029915128679471824
8,0.0011874846717416572
9,0.00030973829078191254
10,0.01725827666133657
11,0.0003776130354644854
12,0.0022315427656396485
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.00033330299109725613
23,0.00131399872595488
24,0.004102015153581846
25,0.002137807244420612
26,0.0
27,0.0
28,0.020388985707259652
29,0.3316347758359256
30,0.03818279156718688
31,0.0006811224905645041
32,0.005727371760398902
33,0.01782274757101645
34,0.1421650957157382
35,0.017943174445719082
36,0.0
37,0.2644665334354675
38,0.0030427635666680306
39,0.04418462721567929
40,0.008010370903156885
41,0.00026074389242013526
42,0.025763920455866847
43,0.038862871293137084
